Unnamed: 0,NAME,DATE,PRCP,TAVG,TMAX,TMIN
28575,"RESISTENCIA AERO, AR",1980-01-01,0.0,19.6,25.8,11.0
28576,"RESISTENCIA AERO, AR",1980-01-02,0.0,20.8,28.1,13.4
28577,"RESISTENCIA AERO, AR",1980-01-03,0.0,22.7,30.7,14.0
28578,"RESISTENCIA AERO, AR",1980-01-04,153.9,24.8,32.8,15.2
28579,"RESISTENCIA AERO, AR",1980-01-05,0.0,23.4,33.2,20.8
28580,"RESISTENCIA AERO, AR",1980-01-06,14.0,26.2,32.4,20.2
28581,"RESISTENCIA AERO, AR",1980-01-07,0.0,26.3,33.6,20.2
28582,"RESISTENCIA AERO, AR",1980-01-08,26.9,24.5,30.8,18.6
28583,"RESISTENCIA AERO, AR",1980-01-09,0.0,25.5,31.7,21.0
28584,"RESISTENCIA AERO, AR",1980-01-10,0.0,25.7,32.6,20.5
28585,"RESISTENCIA AERO, AR",1980-01-11,0.0,26.7,34.4,20.2
28586,"RESISTENCIA AERO, AR",1980-01-12,0.0,27.5,34.8,20.1
28587,"RESISTENCIA AERO, AR",1980-01-13,0.0,26.6,33.6,20.8
28588,"RESISTENCIA AERO, AR",1980-01-14,0.0,24.9,34.5,19.0
28589,"RESISTENCIA AERO, AR",1980-01-15,0.0,25.2,33.0,19.4
28590,"RESISTENCIA AERO, AR",1980-01-16,0.0,25.8,34.0,19.6
28591,"RESISTENCIA AERO, AR",1980-01-17,,28.2,34.4,20.6
28592,"RESISTENCIA AERO, AR",1980-01-18,0.0,28.2,35.9,20.5
28593,"RESISTENCIA AERO, AR",1980-01-19,,27.8,34.9,21.8
28594,"RESISTENCIA AERO, AR",1980-01-20,0.0,26.9,35.2,18.4
28595,"RESISTENCIA AERO, AR",1980-01-21,,25.2,36.1,18.4
28596,"RESISTENCIA AERO, AR",1980-01-22,,29.9,38.2,22.4
28597,"RESISTENCIA AERO, AR",1980-01-23,0.0,25.4,30.0,20.8
28598,"RESISTENCIA AERO, AR",1980-01-24,40.9,23.4,28.1,20.2
28599,"RESISTENCIA AERO, AR",1980-01-25,2.0,23.7,29.2,16.5
28600,"RESISTENCIA AERO, AR",1980-01-26,0.0,23.4,33.0,15.4
28601,"RESISTENCIA AERO, AR",1980-01-27,0.0,25.3,32.3,18.6
28602,"RESISTENCIA AERO, AR",1980-01-28,0.0,25.2,32.3,18.8
28603,"RESISTENCIA AERO, AR",1980-01-29,0.0,26.4,33.7,18.6
28604,"RESISTENCIA AERO, AR",1980-01-30,0.0,26.0,31.5,20.8
28605,"RESISTENCIA AERO, AR",1980-01-31,0.0,26.0,34.3,20.8
28606,"RESISTENCIA AERO, AR",1980-02-01,0.0,25.3,31.1,18.4
28607,"RESISTENCIA AERO, AR",1980-02-02,0.0,26.6,32.9,21.3
28608,"RESISTENCIA AERO, AR",1980-02-03,0.0,27.2,35.2,18.5
28609,"RESISTENCIA AERO, AR",1980-02-04,0.0,28.2,34.0,23.6
28610,"RESISTENCIA AERO, AR",1980-02-05,5.1,23.9,31.0,20.2
28611,"RESISTENCIA AERO, AR",1980-02-06,0.0,19.9,32.6,15.4
28612,"RESISTENCIA AERO, AR",1980-02-07,0.0,28.5,33.2,17.5
28613,"RESISTENCIA AERO, AR",1980-02-08,0.0,26.8,34.3,20.1
28614,"RESISTENCIA AERO, AR",1980-02-09,,28.1,36.4,20.2
28615,"RESISTENCIA AERO, AR",1980-02-10,11.9,25.3,28.2,17.6
28616,"RESISTENCIA AERO, AR",1980-02-11,11.9,21.9,30.6,14.4
28617,"RESISTENCIA AERO, AR",1980-02-12,0.0,25.0,33.2,18.2
28618,"RESISTENCIA AERO, AR",1980-02-13,0.0,28.1,34.6,21.8
28619,"RESISTENCIA AERO, AR",1980-02-14,0.0,27.8,37.3,19.7
28620,"RESISTENCIA AERO, AR",1980-02-15,0.0,29.6,37.0,23.2
28621,"RESISTENCIA AERO, AR",1980-02-16,0.0,27.3,33.0,23.0
28622,"RESISTENCIA AERO, AR",1980-02-17,20.1,24.4,30.0,20.6
28623,"RESISTENCIA AERO, AR",1980-02-18,0.0,25.6,31.6,21.6
28624,"RESISTENCIA AERO, AR",1980-02-19,0.0,23.4,29.8,16.4
28625,"RESISTENCIA AERO, AR",1980-02-20,0.0,23.1,31.9,15.1
28626,"RESISTENCIA AERO, AR",1980-02-21,0.0,25.5,32.0,20.0
28627,"RESISTENCIA AERO, AR",1980-02-22,0.0,26.2,32.6,19.6
28628,"RESISTENCIA AERO, AR",1980-02-23,0.0,27.6,36.0,20.0
28629,"RESISTENCIA AERO, AR",1980-02-24,33.0,24.7,26.8,20.5
28630,"RESISTENCIA AERO, AR",1980-02-25,7.9,22.1,31.6,18.3
28631,"RESISTENCIA AERO, AR",1980-02-26,0.0,25.0,32.1,17.6
28632,"RESISTENCIA AERO, AR",1980-02-27,0.0,23.2,32.2,19.0
28633,"RESISTENCIA AERO, AR",1980-02-28,0.0,24.4,33.4,19.0
28634,"RESISTENCIA AERO, AR",1980-02-29,0.0,28.6,36.0,21.0
28635,"RESISTENCIA AERO, AR",1980-03-01,0.0,27.3,30.3,22.3
28636,"RESISTENCIA AERO, AR",1980-03-02,0.0,24.1,29.3,20.2
28637,"RESISTENCIA AERO, AR",1980-03-03,0.0,24.0,30.0,19.4
28638,"RESISTENCIA AERO, AR",1980-03-04,,27.5,33.6,21.0
28639,"RESISTENCIA AERO, AR",1980-03-05,0.0,30.2,36.5,23.4
28640,"RESISTENCIA AERO, AR",1980-03-06,0.0,28.3,37.8,24.0
28641,"RESISTENCIA AERO, AR",1980-03-07,,25.6,29.8,22.0
28642,"RESISTENCIA AERO, AR",1980-03-08,0.0,25.8,33.7,21.8
28643,"RESISTENCIA AERO, AR",1980-03-09,0.0,31.3,37.0,22.6
28644,"RESISTENCIA AERO, AR",1980-03-10,49.0,25.2,29.8,22.0
28645,"RESISTENCIA AERO, AR",1980-03-11,25.9,23.7,25.0,21.7
28646,"RESISTENCIA AERO, AR",1980-03-12,25.9,24.3,28.6,21.1
28647,"RESISTENCIA AERO, AR",1980-03-13,0.0,25.2,29.8,21.4
28648,"RESISTENCIA AERO, AR",1980-03-14,0.0,25.5,31.1,19.6
28649,"RESISTENCIA AERO, AR",1980-03-15,0.0,26.6,33.3,20.2
28650,"RESISTENCIA AERO, AR",1980-03-16,0.0,26.9,33.0,20.8
28651,"RESISTENCIA AERO, AR",1980-03-17,0.0,26.6,33.8,21.0
28652,"RESISTENCIA AERO, AR",1980-03-18,0.0,27.7,34.6,21.4
28653,"RESISTENCIA AERO, AR",1980-03-19,0.0,29.2,35.6,23.2
28654,"RESISTENCIA AERO, AR",1980-03-20,0.0,30.0,37.0,24.0
28655,"RESISTENCIA AERO, AR",1980-03-21,0.0,29.6,36.8,22.8
28656,"RESISTENCIA AERO, AR",1980-03-22,0.0,30.2,37.0,23.5
28657,"RESISTENCIA AERO, AR",1980-03-23,0.0,29.3,36.2,23.6
28658,"RESISTENCIA AERO, AR",1980-03-24,0.0,29.7,37.0,23.8
